DATE,CATEGORY,NAME,UNITS,TOTAL_PRICESELL,PROFIT
2016-07-31,trutaste,Pistachios Salted 350g,3.0,30.0,0.2999999999999989
2016-08-31,Apples,Golden Delicious 1Kg Punnet,1.0,2.99,2.99
2016-08-31,Asian Vegies,bitter melon,18.33,82.48500000000003,-9.164999999999997
2016-08-31,Avocadoes,Avocado Hass Medium,292.0,581.0800000000014,-294.91999999999916
2016-08-31,Bananas,Banana Cavendish,1294.9460000000006,2576.9425399999986,-12.949460000000016
2016-08-31,Berries,Berries Strawberry (large),89.0,338.2000000000005,41.82999999999995
2016-08-31,Bunch Vegies, Australian Asparagus green,19.0,51.30000000000002,13.299999999999997
2016-08-31,Cabbages,Cabbage Wombok,22.0,33.0,-49.5
2016-08-31,Chillies,Chilli Green long bullhorm,7.351999999999999,51.39047999999999,18.30648
2016-08-31,Citrus,2kg Marsh Grapefruit ,1.0,5.0,2.0
2016-08-31,Cucumbers,Cucumber continental,335.0,502.5,502.5
2016-08-31,Cut Veggies,wombok half,37.0,92.5,18.5
2016-08-31,Eggs,egg free range 600g,66.0,277.1999999999997,66.0
2016-08-31,Flowers,Bunch Roses,25.0,225.0,25.0
2016-08-31,Grapes,grapes Calmeria,34.13199999999999,67.92268000000001,-51.539320000000004
2016-08-31,Groceries-Dry Goods,Lentils 400g,1.0,1.29,0.38
2016-08-31,Herbs,Curry Leaves,1.0,2.0,2.0
2016-08-31,Kalamata olives,Virgin Olive Oil 500ml,1.0,8.99,1.91
2016-08-31,Lettuces,Lettuce Salad mix loose,17.599999999999994,211.20000000000002,0.0
2016-08-31,Melons,Piel de Sapo Melon,7.0,20.93,-0.06999999999999851
2016-08-31,Multi buy, Artichoke 2 For 3,6.0,18.0,-3.6000000000000005
2016-08-31,Mushrooms,King Oyster Baby,1.0,3.7,3.7
2016-08-31,Nuts,Apple Rings 500g,1.0,7.0,1.75
2016-08-31,Olympian Products,Cinnamon 15g,1.0,1.3,0.5
2016-08-31,Onions,Brown Onion 1Kg,5.0,6.0,-1.5000000000000002
2016-08-31,Other Fruits,Persimmons,7.452,6.7068,6.7068
2016-08-31,Other Vegies,Artichoke Purple,49.0,98.0,0.0
2016-08-31,Pastas,Rigatoni No.58,3.0,2.9699999999999998,2.9699999999999998
2016-08-31,Pears,Pear Nashi,9.068,27.113320000000005,-9.158679999999999
2016-08-31,Potatoes,potato Red 4kg,3.0,21.0,12.0
2016-08-31,Pumpkins,Pumpkin Butternut,106.93599999999996,212.80264,212.80264
2016-08-31,Root Vegies,Turmeric,0.5880000000000001,14.699999999999998,-11.759999999999998
2016-08-31,Sri Lankan Groceries,Royal Hot & Spicy Cashew Nuts 100g,2.0,5.09090909090908,0.23090909090907985
2016-08-31,Tomatoes,tomato sweet cherry vine,27.0,67.5,67.5
2016-08-31,Tropical Fruits,Passionfruit,3.0,2.9699999999999998,2.9699999999999998
2016-08-31,Veggies,Galangal,0.20600000000000002,3.708,2.678
2016-08-31,capsicum,Hungarian Capsicum,1.4460000000000002,7.21554,7.21554
2016-08-31,carrots,Carrots 1kg,185.0,275.65000000000066,127.64999999999974
2016-08-31,coconut Products,Virgin Coconut Oil organic Frank,1.0,4.99,0.91
2016-08-31,trutaste,Pistachios Salted 350g,6.0,60.0,0.5999999999999978
